,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
515,1,3,2,1,0,0,0
516,0,0,1,5,0,0,1
517,1,2,4,9,1,0,1
518,1,2,1,2,0,0,0
519,1,2,2,0,1,1,0
520,1,5,2,10,1,0,0
521,0,3,5,6,1,0,0
522,1,4,3,9,1,0,1
523,1,3,1,1,1,0,0
524,0,0,4,8,1,0,1
525,1,0,1,9,1,0,1
526,1,2,1,6,1,0,1
527,1,3,5,3,0,0,1
528,1,1,1,0,0,0,0
529,1,0,3,2,1,0,1
530,1,3,4,2,1,3,0
531,0,0,4,9,1,0,1
532,1,2,3,8,0,0,1
533,1,2,2,4,1,3,1
534,1,0,5,9,0,1,0
535,0,0,1,0,0,0,1
536,1,4,2,9,0,1,1
537,0,0,5,10,1,0,1
538,1,2,2,5,1,0,0
539,1,4,2,9,1,1,1
540,1,4,3,8,1,0,1
541,1,1,3,9,5,2,1
542,1,1,3,12,1,1,1
543,1,0,4,2,0,0,0
544,1,3,5,4,0,0,0
545,0,5,4,2,1,0,1
546,1,0,4,2,1,0,2
547,0,0,3,3,1,0,0
548,1,0,3,6,1,2,1
549,1,0,1,4,1,0,0
550,0,3,2,5,1,0,1
551,1,0,2,10,1,0,2
552,1,0,4,4,1,0,0
553,0,0,4,5,1,0,1
554,1,0,2,2,1,0,0
555,1,5,6,1,1,1,1
556,1,0,2,0,2,0,0
557,1,2,3,2,1,0,0
558,1,3,1,5,1,0,0
559,1,3,3,8,1,0,1
560,1,4,2,1,1,0,1
561,1,2,4,2,1,1,1
562,1,0,3,4,0,0,1
563,1,2,2,6,1,0,0
564,1,5,1,11,1,1,1
565,1,2,4,1,0,0,1
566,1,5,1,4,0,0,1
567,0,1,2,9,1,1,0
568,1,2,1,2,1,0,1
569,1,2,2,1,1,1,1
570,1,0,1,5,0,0,0
571,1,0,5,0,0,0,0
572,1,0,6,0,1,0,0
573,1,2,3,5,0,0,0
574,1,1,3,9,1,1,1
575,1,0,2,0,0,0,0
576,1,0,8,4,0,0,1
577,0,0,3,2,1,0,1
578,1,3,5,4,1,0,2
579,1,2,2,6,0,2,0
580,0,0,1,0,1,0,0
581,0,3,3,5,1,0,1
582,1,0,3,2,1,0,1
583,1,3,6,5,1,0,1
584,1,1,2,9,1,0,1
585,1,0,2,8,1,0,0
